Search,Search Count,Last Search Date
"powdocs",3,132805474418891036
"engineered-",1,132805481277887054
"powwater",1,132805475578588777
"*.epub",1,132805465212456433
"secrets.txt",1,132802828407341504
"azuredevops",1,132802828257413049
"Client-XYZ",1,132801986584924520
"Client*.xlsx",1,132801986526176029
"secret",1,132801955360943079
"*choco*.ps1",1,132801762129874002
"config-choco.ps1",1,132801762059560907
"config-choco",1,132801762011805519
